ID: 6528, Name: AggregatorHost, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 9136, Name: ApplicationFrameHost, Memory: 24 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 12004, Name: audiodg, Memory: 16 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 7808, Name: chrome, Memory: 260 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3644, Name: chrome, Memory: 8 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 8516, Name: chrome, Memory: 208 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 8828, Name: chrome, Memory: 65 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1348, Name: chrome, Memory: 19 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 9444, Name: chrome, Memory: 130 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 5084, Name: chrome, Memory: 22 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 7380, Name: chrome, Memory: 75 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 7896, Name: chrome, Memory: 63 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2256, Name: chrome, Memory: 45 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 12940, Name: chrome, Memory: 34 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 13016, Name: chrome, Memory: 196 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 6780, Name: chrome, Memory: 50 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 11488, Name: chrome, Memory: 38 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1776, Name: chrome, Memory: 40 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 11744, Name: chrome, Memory: 40 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 11248, Name: chrome, Memory: 43 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2208, Name: chrome, Memory: 37 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 7692, Name: chrome, Memory: 44 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 7784, Name: chrome, Memory: 44 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 9272, Name: chrome, Memory: 38 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 13304, Name: chrome, Memory: 41 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 4840, Name: chrome, Memory: 40 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 6256, Name: chrome, Memory: 38 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 9328, Name: chrome, Memory: 36 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 7268, Name: chrome, Memory: 41 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 7480, Name: chrome, Memory: 43 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 11632, Name: chrome, Memory: 38 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 10068, Name: chrome, Memory: 43 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2348, Name: chrome, Memory: 41 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 12264, Name: chrome, Memory: 48 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 7172, Name: chrome, Memory: 205 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 13412, Name: chrome, Memory: 29 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 5616, Name: CompPkgSrv, Memory: 8 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2488, Name: conhost, Memory: 5 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 12196, Name: conhost, Memory: 5 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 11852, Name: conhost, Memory: 5 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 11344, Name: conhost, Memory: 5 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 836, Name: conhost, Memory: 5 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 11948, Name: conhost, Memory: 8 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3860, Name: conhost, Memory: 11 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 14068, Name: conhost, Memory: 11 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 11940, Name: conhost, Memory: 11 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 10888, Name: conhost, Memory: 11 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 616, Name: csrss, Memory: 4 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 712, Name: csrss, Memory: 6 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3436, Name: ctfmon, Memory: 20 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3364, Name: CxAudioSvc, Memory: 20 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3384, Name: CxUtilSvc, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 5600, Name: dllhost, Memory: 11 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 7572, Name: dllhost, Memory: 10 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 11772, Name: dotnet, Memory: 73 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 6204, Name: dotnet, Memory: 220 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 15224, Name: dotnet, Memory: 164 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 10748, Name: dotnet, Memory: 127 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 12208, Name: dotnet, Memory: 88 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1172, Name: dwm, Memory: 82 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 4620, Name: epmd, Memory: 3 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 4020, Name: erl, Memory: 66 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3696, Name: erlsrv, Memory: 3 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 7244, Name: explorer, Memory: 165 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1604, Name: FileCoAuth, Memory: 25 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 7712, Name: Flow, Memory: 74 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 80, Name: fontdrvhost, Memory: 6 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1020, Name: fontdrvhost, Memory: 3 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 8264, Name: fsnotifier, Memory: 2 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 0, Name: Idle, Memory: 0 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2120, Name: igfxCUIService, Memory: 8 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 5972, Name: igfxEM, Memory: 12 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3412, Name: inet_gethost, Memory: 4 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1304, Name: IntelCpHDCPSvc, Memory: 6 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1524, Name: IntelCpHeciSvc, Memory: 6 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 12592, Name: JetBrains.Dpa.Collector, Memory: 5 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 9804, Name: JetBrains.DPA.Runner, Memory: 36 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3524, Name: JetBrains.Etw.Collector.Host, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3548, Name: jhi_service, Memory: 5 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 11104, Name: jucheck, Memory: 15 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 11240, Name: jusched, Memory: 16 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 868, Name: LsaIso, Memory: 2 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 876, Name: lsass, Memory: 21 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1780, Name: Memory Compression, Memory: 275 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 940, Name: MicTray64, Memory: 5 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 6676, Name: MoUsoCoreWorker, Memory: 30 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3728, Name: MpDefenderCoreService, Memory: 17 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 9124, Name: msedge, Memory: 109 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 12652, Name: msedge, Memory: 10 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 4548, Name: msedge, Memory: 37 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 11444, Name: msedge, Memory: 32 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 7476, Name: msedge, Memory: 19 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3736, Name: MsMpEng, Memory: 269 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 8608, Name: NisSrv, Memory: 9 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3492, Name: OneApp.IGCC.WinService, Memory: 42 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 5320, Name: OneDrive, Memory: 125 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 11980, Name: OneDrive.Sync.Service, Memory: 6 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 6908, Name: OpenConsole, Memory: 8 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 10052, Name: PhoneExperienceHost, Memory: 134 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 13336, Name: powershell, Memory: 72 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 108, Name: Registry, Memory: 44 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 11856, Name: Rider.Backend, Memory: 1007 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 11532, Name: rider64, Memory: 1823 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1428, Name: rundll32, Memory: 9 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 8956, Name: RuntimeBroker, Memory: 28 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 8816, Name: RuntimeBroker, Memory: 33 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 9772, Name: RuntimeBroker, Memory: 18 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 10208, Name: RuntimeBroker, Memory: 28 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 10648, Name: RuntimeBroker, Memory: 22 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 9100, Name: RuntimeBroker, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 8368, Name: SearchApp, Memory: 97 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 5880, Name: SearchIndexer, Memory: 43 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 56, Name: Secure System, Memory: 29 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 4156, Name: SecurityHealthService, Memory: 14 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 472, Name: SecurityHealthSystray, Memory: 8 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 824, Name: services, Memory: 12 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 8416, Name: ShellExperienceHost, Memory: 65 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2328, Name: sihost, Memory: 28 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 7816, Name: SmartAudio3, Memory: 54 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 11432, Name: smartscreen, Memory: 22 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 384, Name: smss, Memory: 1 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2984, Name: spoolsv, Memory: 12 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2616, Name: sqlceip, Memory: 43 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 6224, Name: sqlservr, Memory: 133 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3676, Name: sqlwriter, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 8884, Name: StartMenuExperienceHost, Memory: 71 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 992, Name: svchost, Memory: 28 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 888, Name: svchost, Memory: 16 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1036, Name: svchost, Memory: 9 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1116, Name: svchost, Memory: 5 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1164, Name: svchost, Memory: 10 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1180, Name: svchost, Memory: 11 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1356, Name: svchost, Memory: 6 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1408, Name: svchost, Memory: 15 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1540, Name: svchost, Memory: 15 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1588, Name: svchost, Memory: 12 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1712, Name: svchost, Memory: 9 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1788, Name: svchost, Memory: 10 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1796, Name: svchost, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1876, Name: svchost, Memory: 5 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1884, Name: svchost, Memory: 13 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1892, Name: svchost, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1920, Name: svchost, Memory: 5 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1948, Name: svchost, Memory: 10 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1080, Name: svchost, Memory: 8 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2084, Name: svchost, Memory: 11 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2160, Name: svchost, Memory: 6 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2168, Name: svchost, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2244, Name: svchost, Memory: 9 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2392, Name: svchost, Memory: 6 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2456, Name: svchost, Memory: 13 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2556, Name: svchost, Memory: 10 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2564, Name: svchost, Memory: 15 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2568, Name: svchost, Memory: 8 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2584, Name: svchost, Memory: 9 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2768, Name: svchost, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2844, Name: svchost, Memory: 17 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2912, Name: svchost, Memory: 12 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3040, Name: svchost, Memory: 18 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3068, Name: svchost, Memory: 11 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2296, Name: svchost, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3176, Name: svchost, Memory: 6 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3280, Name: svchost, Memory: 6 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3344, Name: svchost, Memory: 5 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3352, Name: svchost, Memory: 13 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3396, Name: svchost, Memory: 42 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3404, Name: svchost, Memory: 39 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3484, Name: svchost, Memory: 15 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3588, Name: svchost, Memory: 5 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3668, Name: svchost, Memory: 5 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3756, Name: svchost, Memory: 20 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3776, Name: svchost, Memory: 8 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3892, Name: svchost, Memory: 5 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3984, Name: svchost, Memory: 6 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 4000, Name: svchost, Memory: 10 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 4244, Name: svchost, Memory: 12 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 4368, Name: svchost, Memory: 5 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 4916, Name: svchost, Memory: 8 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 5372, Name: svchost, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 5520, Name: svchost, Memory: 9 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 6640, Name: svchost, Memory: 11 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 6768, Name: svchost, Memory: 19 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3572, Name: svchost, Memory: 9 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2284, Name: svchost, Memory: 28 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 6036, Name: svchost, Memory: 39 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 2080, Name: svchost, Memory: 16 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 4732, Name: svchost, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 7320, Name: svchost, Memory: 17 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 7852, Name: svchost, Memory: 14 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 8156, Name: svchost, Memory: 18 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 8240, Name: svchost, Memory: 9 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 8460, Name: svchost, Memory: 22 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 1564, Name: svchost, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 10460, Name: svchost, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 10964, Name: svchost, Memory: 13 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3580, Name: svchost, Memory: 11 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 3536, Name: svchost, Memory: 10 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 10760, Name: svchost, Memory: 17 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 13916, Name: svchost, Memory: 9 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 14472, Name: svchost, Memory: 6 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 13588, Name: svchost, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 13652, Name: svchost, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 4, Name: System, Memory: 0 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 10732, Name: SystemSettings, Memory: 2 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: False
ID: 6424, Name: taskhostw, Memory: 17 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 14556, Name: taskhostw, Memory: 7 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 7912, Name: TextInputHost, Memory: 44 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
ID: 9068, Name: UserOOBEBroker, Memory: 9 MB, StartTime: 9/8/2025 9:40:49 PM, Responding: True
