ID: 6528, Name: AggregatorHost, Memory: 7 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 14896, Name: ApplicationFrameHost, Memory: 24 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 12004, Name: audiodg, Memory: 17 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 5308, Name: chrome, Memory: 361 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 3308, Name: chrome, Memory: 8 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 7644, Name: chrome, Memory: 365 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 2336, Name: chrome, Memory: 81 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 7096, Name: chrome, Memory: 21 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 5952, Name: chrome, Memory: 172 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 13980, Name: chrome, Memory: 72 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 10432, Name: chrome, Memory: 23 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 13648, Name: chrome, Memory: 96 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 8992, Name: chrome, Memory: 40 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 8780, Name: chrome, Memory: 37 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 1416, Name: chrome, Memory: 288 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 5972, Name: chrome, Memory: 243 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 7456, Name: chrome, Memory: 37 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 7444, Name: chrome, Memory: 66 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 7032, Name: chrome, Memory: 382 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 4384, Name: chrome, Memory: 54 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 1484, Name: chrome, Memory: 57 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 4632, Name: chrome, Memory: 81 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 13108, Name: chrome, Memory: 176 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 5740, Name: chrome, Memory: 62 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 14908, Name: chrome, Memory: 65 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 13684, Name: chrome, Memory: 50 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 13460, Name: chrome, Memory: 49 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 7996, Name: chrome, Memory: 44 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 1912, Name: chrome, Memory: 61 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 14736, Name: chrome, Memory: 52 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 7840, Name: chrome, Memory: 58 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 7648, Name: chrome, Memory: 53 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 13064, Name: chrome, Memory: 51 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 8868, Name: chrome, Memory: 58 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 9808, Name: chrome, Memory: 48 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 13320, Name: chrome, Memory: 167 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 14632, Name: chrome, Memory: 86 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 8032, Name: chrome, Memory: 75 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 1772, Name: chrome, Memory: 63 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 7392, Name: chrome, Memory: 53 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 15296, Name: chrome, Memory: 54 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 10256, Name: chrome, Memory: 66 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 7428, Name: chrome, Memory: 49 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 11412, Name: chrome, Memory: 77 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 11872, Name: chrome, Memory: 53 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 12184, Name: chrome, Memory: 56 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 13580, Name: chrome, Memory: 49 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 14676, Name: chrome, Memory: 246 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 11752, Name: chrome, Memory: 128 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 6908, Name: chrome, Memory: 55 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 11892, Name: chrome, Memory: 58 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
ID: 8024, Name: chrome, Memory: 53 MB, StartTime: 9/9/2025 8:38:21 AM, Responding: True
